X ; Y ; Vx ; Vy ;
0.200366 ; 0.452550 ; 0.105811 ; 0.190273 ;
0.496893 ; 0.655535 ; -0.046331 ; 0.212729 ;
0.760578 ; 0.157239 ; 0.105240 ; -0.190590 ;
0.296381 ; 0.363335 ; 0.005096 ; 0.217656 ;
0.067993 ; 0.367608 ; 0.111140 ; 0.187211 ;
0.064530 ; 0.893362 ; -0.135100 ; 0.170728 ;
0.179956 ; 0.022302 ; -0.166753 ; 0.139976 ;
0.465496 ; 0.270000 ; -0.074809 ; 0.204459 ;
0.854813 ; 0.026545 ; 0.174607 ; 0.130048 ;
0.692748 ; 0.901256 ; -0.088695 ; -0.198829 ;
0.118864 ; 0.999734 ; 0.069440 ; 0.206345 ;
0.947156 ; 0.651965 ; 0.101466 ; 0.192626 ;
0.647279 ; 0.654847 ; -0.092802 ; 0.196946 ;
0.716096 ; 0.523129 ; -0.011900 ; 0.217390 ;
0.367113 ; 0.803667 ; -0.214340 ; 0.038188 ;
0.178498 ; 0.979797 ; 0.041760 ; 0.213673 ;
0.425469 ; 0.985308 ; -0.004259 ; -0.217674 ;
0.293436 ; 0.887079 ; 0.045839 ; 0.212835 ;
0.207173 ; 0.721248 ; -0.181145 ; -0.120775 ;
0.702648 ; 0.077276 ; 0.098463 ; 0.194178 ;
0.491080 ; 0.391143 ; -0.137611 ; 0.168710 ;
0.491663 ; 0.540661 ; -0.072988 ; -0.205116 ;
0.244441 ; 0.737610 ; 0.095074 ; 0.195859 ;
0.142709 ; 0.247212 ; -0.001163 ; 0.217712 ;
0.341409 ; 0.998084 ; 0.114037 ; 0.185460 ;
0.158399 ; 0.576245 ; 0.205013 ; -0.134220 ;
0.754062 ; 0.655107 ; -0.098290 ; -0.194266 ;
0.606184 ; 0.395409 ; -0.011900 ; 0.217390 ;
0.072865 ; 0.820306 ; 0.201756 ; -0.081821 ;
0.660366 ; 0.743717 ; 0.058065 ; -0.209830 ;
0.019709 ; 0.230199 ; -0.098662 ; -0.194077 ;
0.149605 ; 0.156049 ; -0.204759 ; 0.073985 ;
0.030738 ; 0.882797 ; -0.000658 ; -0.217714 ;
0.696059 ; 0.592472 ; 0.160521 ; -0.147082 ;
0.635212 ; 0.287665 ; -0.208759 ; -0.061804 ;
0.289286 ; 0.017698 ; 0.211470 ; -0.051774 ;
0.557097 ; 0.344033 ; 0.075367 ; -0.204254 ;
0.072076 ; 0.582536 ; -0.099579 ; -0.193608 ;
0.116333 ; 0.850123 ; -0.118063 ; 0.182924 ;
0.656166 ; 0.448005 ; -0.121133 ; 0.180905 ;
0.061668 ; 0.622577 ; -0.211749 ; 0.050621 ;
0.354927 ; 0.218263 ; 0.049879 ; 0.211925 ;
0.181881 ; 0.260308 ; 0.062929 ; -0.208423 ;
0.102865 ; 0.015253 ; -0.083074 ; 0.201243 ;
0.283763 ; 0.520196 ; 0.170939 ; 0.134832 ;
0.253892 ; 0.165722 ; -0.142236 ; 0.164830 ;
0.416642 ; 0.313666 ; 0.074862 ; -0.204440 ;
0.139647 ; 0.518587 ; -0.159697 ; 0.147976 ;
0.464099 ; 0.349028 ; -0.151285 ; -0.156566 ;
0.257492 ; 0.386159 ; 0.022571 ; -0.181526 ;
0.663269 ; 0.374111 ; 0.217184 ; 0.015204 ;
0.128757 ; 0.110334 ; 0.138662 ; 0.169739 ;
0.221227 ; 0.059662 ; 0.101174 ; 0.192779 ;
0.994609 ; 0.254080 ; -0.088124 ; -0.199083 ;
0.262056 ; 0.502663 ; -0.121519 ; 0.180647 ;
0.386462 ; 0.419869 ; 0.068940 ; -0.318160 ;
0.953995 ; 0.355313 ; -0.090901 ; -0.197831 ;
0.221032 ; 0.688397 ; 0.020910 ; -0.216709 ;
0.090300 ; 0.583159 ; -0.014172 ; 0.217254 ;
0.330278 ; 0.685604 ; 0.096283 ; 0.195268 ;
0.873770 ; 0.831540 ; 0.145571 ; -0.161892 ;
0.259323 ; 0.270924 ; 0.058224 ; -0.209785 ;
0.917072 ; 0.446753 ; -0.206593 ; 0.068698 ;
0.448383 ; 0.865609 ; 0.004299 ; 0.217673 ;
0.601109 ; 0.089823 ; -0.070875 ; 0.205856 ;
0.990484 ; 0.375459 ; 0.093426 ; -0.196651 ;
0.244100 ; 0.997657 ; 0.202819 ; -0.079149 ;
0.524977 ; 0.777266 ; -0.194155 ; 0.098509 ;
0.972869 ; 0.864763 ; -0.055952 ; 0.210403 ;
0.332507 ; 0.291812 ; -0.129625 ; -0.174921 ;
0.021063 ; 0.336738 ; 0.116163 ; -0.184136 ;
0.050717 ; 0.216302 ; -0.108456 ; 0.188779 ;
0.693726 ; 0.153692 ; 0.099831 ; 0.193478 ;
0.832716 ; 0.351873 ; -0.049773 ; 0.211950 ;
0.573102 ; 0.887657 ; 0.191749 ; -0.103113 ;
0.315493 ; 0.078925 ; 0.081400 ; -0.201926 ;
0.386942 ; 0.337072 ; -0.196679 ; -0.093366 ;
0.097407 ; 0.049324 ; -0.193583 ; -0.099627 ;
0.424290 ; 0.520839 ; 0.068204 ; 0.206756 ;
0.249912 ; 0.494466 ; -0.103127 ; -0.191742 ;
0.237688 ; 0.308305 ; -0.027315 ; 0.215995 ;
0.156762 ; 0.174921 ; -0.161491 ; -0.146016 ;
0.850090 ; 0.677439 ; -0.057082 ; 0.210099 ;
0.925434 ; 0.942062 ; 0.139379 ; -0.167253 ;
0.734791 ; 0.590193 ; -0.174035 ; 0.130812 ;
0.019438 ; 0.931817 ; -0.097386 ; -0.194720 ;
0.711749 ; 0.498253 ; -0.026730 ; 0.216068 ;
0.439260 ; 0.381366 ; 0.114356 ; 0.185264 ;
0.615247 ; 0.468852 ; 0.201384 ; -0.082732 ;
0.951670 ; 0.064873 ; 0.019009 ; -0.216884 ;
0.655359 ; 0.945380 ; 0.113426 ; 0.185835 ;
0.265707 ; 0.371505 ; 0.080642 ; -0.202230 ;
0.365519 ; 0.116444 ; -0.089533 ; 0.198454 ;
0.399923 ; 0.985933 ; 0.208825 ; 0.061579 ;
0.213910 ; 0.928521 ; -0.049042 ; 0.212120 ;
0.692702 ; 0.207357 ; 0.216254 ; 0.025186 ;
0.699119 ; 0.709334 ; -0.070796 ; -0.205883 ;
0.932255 ; 0.895558 ; -0.104735 ; 0.190868 ;
0.371311 ; 0.428037 ; -0.150063 ; -0.157738 ;
0.371111 ; 0.031230 ; 0.019687 ; 0.216823 ;
0.282345 ; 0.565813 ; 0.186633 ; -0.112107 ;
0.747426 ; 0.911765 ; -0.082383 ; 0.201527 ;
0.714509 ; 0.625087 ; -0.083247 ; -0.201171 ;
0.572559 ; 0.964373 ; -0.111592 ; -0.186942 ;
0.369647 ; 0.258516 ; -0.162979 ; -0.144353 ;
0.618145 ; 0.192897 ; 0.190686 ; -0.105066 ;
0.397491 ; 0.021046 ; -0.156161 ; 0.143369 ;
0.012385 ; 0.237181 ; 0.084629 ; 0.200594 ;
0.476889 ; 0.748100 ; 0.144694 ; 0.162677 ;
0.832842 ; 0.066875 ; -0.023049 ; 0.216492 ;
0.355654 ; 0.562680 ; 0.017455 ; 0.217015 ;
0.822472 ; 0.300994 ; 0.136628 ; 0.169508 ;
0.084885 ; 0.500469 ; -0.033773 ; -0.215080 ;
0.538445 ; 0.146704 ; -0.099459 ; 0.193669 ;
0.454380 ; 0.771048 ; 0.118661 ; 0.182536 ;
0.257445 ; 0.964314 ; -0.018265 ; -0.216948 ;
0.542734 ; 0.623939 ; -0.058331 ; 0.209756 ;
0.336250 ; 0.465590 ; 0.042092 ; 0.213608 ;
0.490066 ; 0.863815 ; 0.195762 ; -0.095274 ;
0.455882 ; 0.517201 ; -0.196919 ; 0.092860 ;
0.171900 ; 0.978183 ; 0.154023 ; 0.153873 ;
0.900700 ; 0.595883 ; 0.210938 ; 0.053899 ;
0.607163 ; 0.882627 ; 0.100828 ; -0.192960 ;
0.523327 ; 0.847282 ; -0.133691 ; 0.171833 ;
0.199351 ; 0.312017 ; -0.034079 ; -0.215032 ;
0.028508 ; 0.777500 ; 0.217290 ; 0.013601 ;
0.001143 ; 0.815015 ; 0.190274 ; -0.105810 ;
0.990836 ; 0.574051 ; -0.079207 ; 0.202796 ;
0.535228 ; 0.386888 ; 0.033574 ; 0.215111 ;
0.289108 ; 0.040712 ; 0.144362 ; 0.162971 ;
0.167089 ; 0.720877 ; -0.144774 ; 0.162606 ;
0.015584 ; 0.168817 ; -0.092709 ; -0.196990 ;
0.253988 ; 0.090666 ; -0.033760 ; -0.215082 ;
0.945622 ; 0.330493 ; 0.185038 ; 0.114720 ;
0.341438 ; 0.856081 ; -0.029096 ; 0.215762 ;
0.872946 ; 0.085790 ; -0.205397 ; 0.072195 ;
0.472164 ; 0.581080 ; -0.095247 ; 0.195776 ;
0.618526 ; 0.633626 ; 0.043221 ; -0.213382 ;
0.479701 ; 0.800403 ; 0.120615 ; 0.181251 ;
0.095711 ; 0.876013 ; -0.148242 ; -0.159450 ;
0.139619 ; 0.390545 ; -0.077267 ; -0.203543 ;
0.237199 ; 0.105074 ; 0.076815 ; -0.203714 ;
0.176355 ; 0.580701 ; 0.174328 ; 0.130422 ;
0.024959 ; 0.325689 ; 0.049281 ; 0.212065 ;
0.345670 ; 0.569943 ; -0.136641 ; -0.169497 ;
0.372236 ; 0.188247 ; 0.158120 ; -0.115842 ;
0.766085 ; 0.795175 ; 0.125293 ; -0.178050 ;
0.414915 ; 0.567254 ; -0.104137 ; -0.191195 ;
0.272335 ; 0.800925 ; 0.046863 ; 0.212612 ;
0.948064 ; 0.742391 ; 0.037733 ; -0.214421 ;
0.755648 ; 0.741626 ; -0.073201 ; -0.205041 ;
0.680385 ; 0.220445 ; 0.016883 ; 0.217060 ;
0.818169 ; 0.522620 ; -0.198952 ; 0.088421 ;
0.841581 ; 0.169711 ; -0.131326 ; -0.173648 ;
0.966632 ; 0.538026 ; 0.199762 ; -0.086574 ;
0.470998 ; 0.499866 ; -0.186102 ; 0.112988 ;
0.554863 ; 0.062517 ; -0.089479 ; -0.198478 ;
0.421559 ; 0.537523 ; -0.208918 ; 0.061263 ;
0.032866 ; 0.250148 ; -0.107791 ; 0.189159 ;
0.298968 ; 0.354676 ; -0.086024 ; 0.200000 ;
0.788029 ; 0.759197 ; -0.159179 ; 0.148533 ;
0.979647 ; 0.701947 ; 0.112708 ; -0.186271 ;
0.345727 ; 0.014744 ; 0.034983 ; 0.214887 ;
0.349047 ; 0.583597 ; -0.170766 ; -0.135051 ;
0.243826 ; 0.079933 ; 0.187803 ; -0.110137 ;
0.406157 ; 0.440617 ; -0.055367 ; 0.210557 ;
0.876319 ; 0.166471 ; 0.094915 ; -0.195937 ;
0.808698 ; 0.967736 ; -0.029282 ; -0.215737 ;
0.493189 ; 0.757833 ; -0.098409 ; -0.194205 ;
0.445264 ; 0.564359 ; 0.086171 ; -0.199937 ;
0.995068 ; 0.366661 ; -0.011289 ; 0.217423 ;
0.939789 ; 0.389410 ; 0.178833 ; -0.124173 ;
0.467701 ; 0.908017 ; 0.042371 ; -0.213553 ;
0.086372 ; 0.058289 ; -0.186580 ; -0.112196 ;
0.698953 ; 0.715082 ; -0.080310 ; -0.202362 ;
0.987993 ; 0.960063 ; -0.004565 ; 0.217668 ;
0.722072 ; 0.155739 ; 0.133531 ; -0.171957 ;
0.241229 ; 0.193073 ; 0.199536 ; -0.087093 ;
0.427086 ; 0.893013 ; 0.214526 ; -0.037129 ;
0.675360 ; 0.141457 ; -0.193078 ; -0.100602 ;
0.210258 ; 0.761762 ; 0.175564 ; 0.128753 ;
0.210652 ; 0.656631 ; 0.032444 ; -0.215284 ;
0.235682 ; 0.272108 ; -0.146448 ; -0.161099 ;
0.241709 ; 0.880442 ; -0.189969 ; 0.106358 ;
0.111107 ; 0.743038 ; 0.047341 ; -0.212506 ;
0.416000 ; 0.680392 ; 0.005973 ; 0.217633 ;
0.330415 ; 0.050477 ; -0.208918 ; -0.061263 ;
0.296415 ; 0.720592 ; -0.151431 ; -0.156424 ;
0.190527 ; 0.007907 ; 0.213702 ; 0.041610 ;
0.719123 ; 0.155349 ; -0.056045 ; -0.210378 ;
0.277333 ; 0.371597 ; 0.179391 ; 0.123365 ;
0.159807 ; 0.940330 ; 0.120974 ; 0.181012 ;
0.638549 ; 0.468462 ; -0.179577 ; 0.123094 ;
0.346344 ; 0.771793 ; -0.056816 ; -0.210171 ;
0.121538 ; 0.450547 ; 0.205503 ; 0.071892 ;
0.024884 ; 0.664514 ; 0.146142 ; -0.161377 ;
0.678317 ; 0.172968 ; 0.014425 ; -0.217237 ;
0.203197 ; 0.131090 ; 0.210167 ; -0.056830 ;
0.111967 ; 0.700743 ; 0.105080 ; -0.190678 ;
0.683029 ; 0.004466 ; -0.093506 ; 0.196613 ;
0.022657 ; 0.433775 ; -0.138462 ; 0.168013 ;
0.987263 ; 0.875264 ; 0.026969 ; -0.216039 ;
0.417031 ; 0.859331 ; 0.128216 ; -0.175956 ;
0.570095 ; 0.166636 ; 0.120110 ; -0.181586 ;
